trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
WkIO1O1 IB1155,6750,3,,"",1,500500,30122,
WkIO1O1 IB1210,6750,3,,"",1,500501,30122,
WkIO1O1 IB1225,6750,3,,"",1,500502,30122,
WkIO1O1 IB1240,6750,3,,"",1,500503,30122,
WkIO1O1 IB1255,6750,3,,"",1,500504,30122,
WkIO1O1 IB1330,6750,3,,"",1,500501,30122,
WkIO1O1 IB1345,6750,3,,"",1,500502,30122,
WkIO1O1 IB1400,6750,3,,"",1,500503,30122,
WkIO1O1 IB1415,6750,3,,"",1,500504,30122,
WkIO1O1 IB1450,6750,3,,"",1,500501,30122,
WkIO1O1 IB1505,6750,3,,"",1,500502,30122,
WkIO1O1 IB1520,6750,3,,"",1,500503,30122,
WkIO1O1 IB1535,6750,3,,"",1,500504,30122,
WkIO1O1 IB1610,6750,3,,"",1,500501,30122,
WkIO1O1 IB1625,6750,3,,"",1,500502,30122,
WkIO1O1 IB1640,6750,3,,"",1,500503,30122,
WkIO1O1 IB1655,6750,3,,"",1,500504,30122,
WkIO1O1 IB1730,6750,3,,"",1,500501,30122,
WkIO1O1 IB1745,6750,3,,"",1,500502,30122,
WkIO1O1 IB1800,6750,3,,"",1,500503,30122,
WkIO1O1D IB1905,6750,3,,"",1,500502,30122,
WkIO1O1D IB1920,6750,3,,"",1,500503,30122,
WkIO1O1D IB2025,6750,3,,"",1,500502,30122,
WkIO1O1D IB2040,6750,3,,"",1,500503,30122,
WkIO1O1D IB2145,6750,3,,"",1,500502,30122,
WkIO1O1D IB2200,6750,3,,"",1,500503,30122,
WkIO2O2 IB0640,6752,3,,"",1,500503,30123,
WkIO2O2 IB0655,6752,3,,"",1,500504,30123,
WkIO2O2 IB0715,6752,3,,"",1,500500,30123,
WkIO2O2 IB0730,6752,3,,"",1,500501,30123,
WkIO2O2 IB0745,6752,3,,"",1,500502,30123,
WkIO2O2 IB0800,6752,3,,"",1,500503,30123,
WkIO2O2 IB0815,6752,3,,"",1,500504,30123,
WkIO2O2 IB0835,6752,3,,"",1,500500,30123,
WkIO2O2 IB0850,6752,3,,"",1,500501,30123,
WkIO2O2 IB0905,6752,3,,"",1,500502,30123,
WkIO2O2 IB0920,6752,3,,"",1,500503,30123,
WkIO2O2 IB0935,6752,3,,"",1,500504,30123,
WkIO2O2 IB0955,6752,3,,"",1,500500,30123,
WkIO2O2 IB1010,6752,3,,"",1,500501,30123,
WkIO2O2 IB1025,6752,3,,"",1,500502,30123,
WkIO2O2 IB1040,6752,3,,"",1,500503,30123,
WkIO2O2 IB1055,6752,3,,"",1,500504,30123,
WkIO2O2 IB1115,6752,3,,"",1,500500,30123,
WkIO2O2 IB1130,6752,3,,"",1,500501,30123,
WkIO2O2 IB1145,6752,3,,"",1,500502,30123,
WkIO2O2 IB1200,6752,3,,"",1,500503,30123,
WkIO2O2 IB1215,6752,3,,"",1,500504,30123,
WkIO2O2 IB1250,6752,3,,"",1,500501,30123,
WkIO2O2 IB1305,6752,3,,"",1,500502,30123,
WkIO2O2 IB1320,6752,3,,"",1,500503,30123,
WkIO2O2 IB1335,6752,3,,"",1,500504,30123,
WkIO2O2 IB1410,6752,3,,"",1,500501,30123,
WkIO2O2 IB1425,6752,3,,"",1,500502,30123,
WkIO2O2 IB1440,6752,3,,"",1,500503,30123,
WkIO2O2 IB1455,6752,3,,"",1,500504,30123,
WkIO2O2 IB1530,6752,3,,"",1,500501,30123,
WkIO2O2 IB1545,6752,3,,"",1,500502,30123,
WkIO2O2 IB1600,6752,3,,"",1,500503,30123,
WkIO2O2 IB1615,6752,3,,"",1,500504,30123,
WkIO2O2 IB1650,6752,3,,"",1,500501,30123,
WkIO2O2 IB1705,6752,3,,"",1,500502,30123,
WkIO2O2 IB1720,6752,3,,"",1,500503,30123,
WkIO2O2 IB1735,6752,3,,"",1,500504,30123,
WkIO2O2 IB1810,6752,3,,"",1,500501,30123,
WkIO2O2 IB1825,6752,3,,"",1,500502,30123,
WkIO2O2 IB1840,6752,3,,"",1,500503,30123,
WkIO2O2 IB1945,6752,3,,"",1,500502,30123,
WkIO2O2 IB2000,6752,3,,"",1,500503,30123,
WkIO2O2 IB2105,6752,3,,"",1,500502,30123,
WkIO2O2 IB2120,6752,3,,"",1,500503,30123,
WkIO2O2 IB2225,6752,3,,"",1,500502,30123,
WkIO2O2 IB2240,6752,3,,"",1,500503,30123,
WkIO3O3 IB1620,6753,3,,"",1,500505,29999,
WkIO3O3 IB1705,6753,3,,"",1,500505,29999,
WkIO3O3 IB1750,6753,3,,"",1,500505,29999,
WkIO3O3 IB1835,6753,3,,"",1,500505,29999,
WkIO3O3 IB1920,6753,3,,"",1,500505,29999,
WkIO3O3 IB2005,6753,3,,"",1,500505,29999,
WkIO3O3 IB2050,6753,3,,"",1,500505,29999,
WkIO3O3 IB2135,6753,3,,"",1,500505,29999,
WkIO3O3 IB2220,6753,3,,"",1,500505,29999,
WkIO4O4 IB0700,6754,3,,"",1,500506,30003,
WkIO4O4 IB0715,6754,3,,"",1,500507,30003,
WkIO4O4 IB0730,6754,3,,"",1,500508,30003,
WkIO4O4 IB0805,6754,3,,"",1,500506,30003,
WkIO4O4 IB0820,6754,3,,"",1,500507,30003,
WkIO4O4 IB0835,6754,3,,"",1,500508,30003,
WkIO4O4 IB0910,6754,3,,"",1,500506,30003,
WkIO4O4 IB0925,6754,3,,"",1,500507,30003,
WkIO4O4 IB0940,6754,3,,"",1,500508,30003,
WkIO4O4 IB1015,6754,3,,"",1,500506,30003,
WkIO4O4 IB1030,6754,3,,"",1,500507,30003,
WkIO4O4 IB1045,6754,3,,"",1,500508,30003,
WkIO4O4 IB1120,6754,3,,"",1,500506,30003,
WkIO4O4 IB1135,6754,3,,"",1,500507,30003,
WkIO4O4 IB1150,6754,3,,"",1,500508,30003,
WkIO4O4 IB1225,6754,3,,"",1,500506,30003,
WkIO4O4 IB1255,6754,3,,"",1,500508,30003,
WkIO4O4 IB1330,6754,3,,"",1,500506,30003,
WkIO4O4 IB1400,6754,3,,"",1,500508,30003,
WkIO4O4 IB1435,6754,3,,"",1,500506,30003,
WkIO4O4 IB1505,6754,3,,"",1,500508,30003,
WkIO4O4 IB1540,6754,3,,"",1,500506,30003,
WkIO4O4 IB1610,6754,3,,"",1,500508,30003,
WkIO4O4 IB1645,6754,3,,"",1,500506,30003,
WkIO4O4 IB1715,6754,3,,"",1,500508,30003,
WkIO4O4 IB1750,6754,3,,"",1,500506,30003,
WkIO4O4 IB1820,6754,3,,"",1,500508,30003,
WkIO4O4 IB1925,6754,3,,"",1,500508,30003,
WkIO4O4 IB2030,6754,3,,"",1,500508,30003,
WkIO4O4 IB2135,6754,3,,"",1,500508,30003,
WkIO4O4 IB2240,6754,3,,"",1,500508,30003,
WkIR1IB0730,5635,3,Southbound,"",0,500522,29158,
WkIR1IB0830,5635,3,Southbound,"",0,500523,29158,
WkIR1IB0930,5635,3,Southbound,"",0,500522,29158,
WkIR1IB1030,5635,3,Southbound,"",0,500523,29158,
WkIR1IB1130,5635,3,Southbound,"",0,500522,29158,
WkIR1IB1230,5635,3,Southbound,"",0,500523,29158,
WkIR1IB1330,5635,3,Southbound,"",0,500522,29158,
WkIR1IB1430,5635,3,Southbound,"",0,500523,29158,
WkIR1IB1530,5635,3,Southbound,"",0,500522,29158,
WkIR1IB1630,5635,3,Southbound,"",0,500523,29158,
WkIR1IB1730,5635,3,Southbound,"",0,500522,29158,
WkIR1IB1830,5635,3,Southbound,"",0,500523,29158,
WkIR1IB1930,5635,3,Southbound,"",0,500522,29158,
WkIR1IB2030,5635,3,Southbound,"",0,500523,29158,
WkIR6IB0530,5640,3,R6 - Job Connector,"",1,500527,30119,
WkIR6IB0730,5640,3,R6 - Job Connector,"",1,500527,30119,
WkIR6IB0930,5640,3,R6 - Job Connector,"",1,500527,30119,
WkIR6IB1130,5640,3,R6 - Job Connector,"",1,500527,30119,
WkIR6IB1330,5640,3,R6 - Job Connector,"",1,500527,30119,
WkIR6IB1530,5640,3,R6 - Job Connector,"",1,500527,30119,
WkIR6IB1730,5640,3,R6 - Job Connector,"",1,500527,30119,
WkIR6IB1930,5640,3,R6 - Job Connector,"",1,500527,30119,
WkIR6PI2130,5640,3,R6 - Job Connector,"",1,500527,29989,
WkNGRLNL0700,5633,3,Green Line - North,"",0,500512,24873,
WkNGRLNL0800,5633,3,Green Line - North,"",0,500512,24873,
WkNGRLNL0900,5633,3,Green Line - North,"",0,500512,24873,
WkNGRLNL1000,5633,3,Green Line - North,"",0,500512,24873,
WkNGRLNL1100,5633,3,Green Line - North,"",0,500512,24873,
WkNGRLNL1200,5633,3,Green Line - North,"",0,500512,24873,
WkNGRLNL1300,5633,3,Green Line - North,"",0,500512,24873,
WkNGRLNL1400,5633,3,Green Line - North,"",0,500512,24873,
WkNGRLNL1500,5633,3,Green Line - North,"",0,500512,24873,
WkNGRLNL1600,5633,3,Green Line - North,"",0,500512,24873,
WkNGRLNL1700,5633,3,Green Line - North,"",0,500512,24873,
WkNGRLNL1800,5633,3,Green Line - North,"",0,500512,24873,
WkOBLBL0630,5620,3,Blue Line,"",0,500510,25068,
WkOBLBL0730,5620,3,Blue Line,"",0,500510,25068,
WkOBLBL0830,5620,3,Blue Line,"",0,500510,25068,
WkOBLBL0930,5620,3,Blue Line,"",0,500510,25068,
WkOBLBL1030,5620,3,Blue Line,"",0,500510,25068,
WkOBLBL1130,5620,3,Blue Line,"",0,500510,25068,
WkOBLBL1230,5620,3,Blue Line,"",0,500510,25068,
WkOBLBL1330,5620,3,Blue Line,"",0,500510,25068,
WkOBLBL1430,5620,3,Blue Line,"",0,500510,25068,
WkOBLBL1530,5620,3,Blue Line,"",0,500510,25068,
WkOBLBL1630,5620,3,Blue Line,"",0,500510,25068,
WkOBLBL1730,5620,3,Blue Line,"",0,500510,25068,
WkOGDLSL0700,5632,3,Gold Line -  South,"",0,500511,18557,
