stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
7243916,,"Gilmore and Kolb Drive SB","",39.305093,-84.523768,,,0,,,0,,
7244714,,"Gilmore & Annandale NB","",39.318184,-84.522302,,,0,,,0,,
7244715,,"Dixie Hwy. & Jungle Jim NB","",39.335378,-84.526655,,,0,,,0,,
7244716,,"Dixie Hwy. & Stadium NB","",39.339475,-84.533733,,,0,,,0,,
7244717,,"Dixie Hwy. & Donald NB","",39.34357,-84.537805,,,0,,,0,,
7244718,,"Dixie Hwy. & Hicks NB","",39.346312,-84.540048,,,0,,,0,,
7244719,,"Dixie Hwy. & Corwin NB","",39.363026,-84.54348,,,0,,,0,,
7244720,,"Dixie Hwy. & Laurel NB","",39.368984,-84.546377,,,0,,,0,,
7244721,,"Hamilton Crossings","",39.378282,-84.547519,,,0,,,0,,
7244722,,"Kroger/ Erie Blvd.","",39.381552,-84.549601,,,0,,,0,,
7244723,,"Hanover & 14th WB","",39.389525,-84.548757,,,0,,,0,,
7244724,,"Hanover & East WB","",39.389792,-84.552971,,,0,,,0,,
7244727,,"Pershing & 2nd WB","",39.39390134299206,-84.56501861971283,,,0,,,0,,
7244728,,"Front & Wilson NB","",39.394841,-84.565973,,,0,,,0,,
7244729,,"County Courthouse","",39.39921,-84.563227,,,0,,,0,,
7245355,,"Bilstein & Symmes SB","",39.34452,-84.512469,,,0,,,0,,
7245356,,"ThyssenKrupp SB","",39.342197,-84.512632,,,0,,,0,,
7245357,,"Fairfield High School","",39.33521,-84.517323,,,0,,,0,,
7245358,,"Port Union & Profit EB","",39.335277,-84.505742,,,0,,,0,,
7245359,,"Port  Union & Seward EB","",39.334036,-84.49556,,,0,,,0,,
7245360,,"Koch Foods EB","",39.331746,-84.486494,,,0,,,0,,
7245361,,"Port Union & LeSaint EB","",39.331538,-84.473507,,,0,,,0,,
7245362,,"Port Union & Goldpark EB","",39.33253,-84.464774,,,0,,,0,,
7245363,,"SR-747 & Rialto SB","",39.324517,-84.463856,,,0,,,0,,
7245364,,"SR-747 & Devitt SB","",39.307252,-84.465235,,,0,,,0,,
7245365,,"Crescentville & Chesterdale EB","",39.300735,-84.447157,,,0,,,0,,
7245366,,"Chesterdale at Valdosta","",39.296883,-84.447426,,,0,,,0,,
7245367,,"Chesterdale & Kemper SB","",39.286267,-84.448396,,,0,,,0,,
7246251,,"AMHUB SB","",39.385687,-84.565083,,,0,,,0,,
7247203,,"Chesterdale & Kemper NB","",39.28691,-84.44816,,,0,,,0,,
7247204,,"Chesterdale and Valdosta","",39.296859,-84.447184,,,0,,,0,,
7247205,,"Crescentville & Chesterdale WB","",39.300963,-84.447688,,,0,,,0,,
7247206,,"Tyson Foods","",39.307281,-84.464929,,,0,,,0,,
7247207,,"SR-747 & Rialto NB","",39.324571,-84.46347,,,0,,,0,,
7247208,,"Port Union & Goldpark WB","",39.332787,-84.464618,,,0,,,0,,
7247209,,"Port Union & LeSaint WB","",39.331791,-84.473072,,,0,,,0,,
7247210,,"Koch Foods WB","",39.331974,-84.486516,,,0,,,0,,
7247211,,"Port Union & Seward WB","",39.333932,-84.494154,,,0,,,0,,
7247212,,"Port Union & Industrial WB","",39.335704,-84.504781,,,0,,,0,,
7247213,,"Fairfield High School Northbound","",39.334947,-84.517175,,,0,,,0,,
7247214,,"ThyssenKrupp NB","",39.342185,-84.512474,,,0,,,0,,
7247215,,"Fin-Pan","",39.344562,-84.512254,,,0,,,0,,
7247223,,"Kroger Hamilton/Grand WB","",39.38198,-84.548303,,,0,,,0,,
7247225,,"AMHUB NB","",39.385682,-84.565019,,,0,,,0,,
7248717,,"Central Ave at Central Pastry","",39.514557,-84.397847,,,0,,,0,,
7248718,,"Central Ave at Leibee St.","",39.513928,-84.395422,,,0,,,0,,
7248719,,"Central Ave at Grimes St.","",39.513581,-84.393963,,,0,,,0,,
7248720,,"Central Ave at McKinley (Eastbound)","",39.512372,-84.385418,,,0,,,0,,
7248721,,"Central Ave at Shafer St (Eastbound)","",39.512254,-84.383789,,,0,,,0,,
7248722,,"Shafer St at North Ave","",39.51478,-84.383353,,,0,,,0,,
7248723,,"Shafer St at Flemming Rd.","",39.517583,-84.38309,,,0,,,0,,
7248724,,"University Blvd at American Savings Bank","",39.521242,-84.379588,,,0,,,0,,
7248725,,"University Blvd at Richardson St.","",39.521254,-84.378098,,,0,,,0,,
7248726,,"University Blvd across from Sorg Pl","",39.52261,-84.372985,,,0,,,0,,
7248727,,"University Blvd at Park Ln","",39.523491,-84.370312,,,0,,,0,,
7248728,,"University Blvd at Miami University Dr","",39.52662,-84.355967,,,0,,,0,,
7248731,,"Breiel Blvd at Rosedale Rd","",39.517214,-84.354267,,,0,,,0,,
7248732,,"Breiel Blvd at Mallory Dr","",39.514603,-84.354497,,,0,,,0,,
7248733,,"Central Ave at Breiel Blvd Eastbound","",39.510373,-84.353929,,,0,,,0,,
7248734,,"Central Ave and Elsmere St","",39.510166,-84.351085,,,0,,,0,,
7248735,,"Central Ave and Heinkle St","",39.510192,-84.347524,,,0,,,0,,
7248736,,"Central Ave and Marshall","",39.510365,-84.344873,,,0,,,0,,
